step,ar_loss,diff_loss,conf_accuracy,learning_rate
21600,3.398,4.7552,0.0,0.000203
21700,3.3314,4.9044,0.0,0.000203
21800,3.4492,3.8076,0.0,0.000202
21900,3.6767,4.6994,0.0,0.000201
22000,3.3774,3.8381,0.0,0.0002
22100,3.3456,3.9409,0.8424,0.000199
22200,3.3894,4.0192,0.8424,0.000198
22300,3.3766,4.0995,0.8424,0.000197
22400,3.3691,4.354,0.8424,0.000197
22500,3.4262,4.409,0.8424,0.000196
22600,3.3755,4.2637,0.8424,0.000195
22700,3.4528,4.5041,0.8424,0.000194
22800,3.4296,4.1373,0.8424,0.000193
22900,3.4736,5.0643,0.8424,0.000192
23000,3.519,4.8222,0.8424,0.000191
23100,3.4595,3.9157,0.8437,0.00019
23200,3.4259,4.229,0.8437,0.00019
23300,3.4776,4.4633,0.8437,0.000189
23400,3.4745,4.8941,0.8437,0.000188
23500,3.4392,4.6161,0.8437,0.000187
23600,3.4088,4.0156,0.8437,0.000186
23700,3.2406,4.6478,0.8437,0.000185
23800,3.3672,4.2706,0.8437,0.000184
23900,3.4896,4.4494,0.8437,0.000184
24000,3.466,4.6436,0.8437,0.000183
24100,3.3901,3.9872,0.0,0.000182
24200,3.2863,3.6424,0.0,0.000181
24300,3.3227,4.2944,0.0,0.00018
24400,3.3829,5.2274,0.0,0.000179
24500,3.5118,4.7094,0.0,0.000178
24600,3.3527,4.0906,0.0,0.000177
24700,3.2866,3.3654,0.0,0.000176
24800,3.4027,4.6367,0.0,0.000176
24900,3.6241,4.5555,0.0,0.000175
25000,3.3291,3.2724,0.0,0.000174
25100,3.3668,4.7163,0.8415,0.000173
25200,3.3093,5.3319,0.8415,0.000172
25300,3.2831,5.2211,0.8415,0.000171
25400,3.4504,3.8778,0.8415,0.00017
25500,3.2446,4.7953,0.8415,0.000169
25600,3.3829,3.8199,0.8415,0.000169
25700,3.3564,4.5423,0.8415,0.000168
25800,3.5657,4.9881,0.8415,0.000167
25900,3.3445,3.8684,0.8415,0.000166
26000,3.345,5.9201,0.8415,0.000165
26100,3.3146,4.5944,0.8377,0.000164
26200,3.359,4.4092,0.8377,0.000163
26300,3.3471,4.8512,0.8377,0.000162
26400,3.3361,3.7438,0.8377,0.000161
26500,3.4018,4.6237,0.8377,0.000161
26600,3.3411,4.4812,0.8377,0.00016
26700,3.421,4.406,0.8377,0.000159
26800,3.4021,4.8966,0.8377,0.000158
26900,3.4396,4.2746,0.8377,0.000157
27000,3.4859,4.6711,0.8377,0.000156
27100,3.4286,5.3019,0.8509,0.000155
27200,3.4021,3.3963,0.8509,0.000154
27300,3.449,3.966,0.8509,0.000154
27400,3.4403,4.6126,0.8509,0.000153
27500,3.4039,5.1597,0.8509,0.000152
27600,3.3845,4.8452,0.8509,0.000151
27700,3.2088,4.1136,0.8509,0.00015
27800,3.3353,4.7257,0.8509,0.000149
27900,3.4553,4.6113,0.8509,0.000148
28000,3.4319,3.973,0.8509,0.000147
28100,3.4124,5.0343,0.0,0.000147
28200,3.518,4.9012,0.0,0.000146
28300,3.4074,4.1047,0.0,0.000145
28400,3.3318,3.5262,0.0,0.000144
28500,3.4005,4.5352,0.0,0.000143
28600,3.4077,3.6028,0.0,0.000142
28700,3.4011,4.4395,0.0,0.000141
28800,3.4184,5.6315,0.0,0.00014
28900,3.4369,4.5814,0.0,0.00014
29000,3.3629,4.6054,0.0,0.000139
29100,3.3897,3.3254,0.8516,0.000138
29200,3.3387,4.7708,0.8516,0.000137
29300,3.423,4.9033,0.8516,0.000136
29400,3.3596,4.5964,0.8516,0.000135
29500,3.4855,4.035,0.8516,0.000134
29600,3.3695,4.1742,0.8516,0.000133
29700,3.3891,5.119,0.8516,0.000133
29800,3.3377,4.316,0.8516,0.000132
29900,3.4658,4.6429,0.8516,0.000131
30000,3.4096,3.9044,0.8516,0.00013
30100,3.2864,3.7773,0.8569,0.000129
30200,3.3026,4.0613,0.8569,0.000128
30300,3.36,4.285,0.8569,0.000128
30400,3.3597,4.1324,0.8569,0.000127
30500,3.4266,4.9901,0.8569,0.000126
30600,3.3662,4.6062,0.8569,0.000125
30700,3.4392,4.2169,0.8569,0.000124
30800,3.4204,4.0709,0.8569,0.000123
30900,3.2561,3.5448,0.8569,0.000122
31000,3.4869,4.5233,0.8569,0.000122
31100,3.3614,4.0777,0.8611,0.000121
31200,3.4318,4.7224,0.8611,0.00012
31300,3.4341,3.9054,0.8611,0.000119
31400,3.4772,3.6823,0.8611,0.000118
31500,3.3659,5.1177,0.8611,0.000117
31600,3.416,3.6044,0.8611,0.000117
31700,3.3996,4.5849,0.8611,0.000116
31800,3.3882,4.1457,0.8611,0.000115
31900,3.3415,3.6276,0.8587,0.000114
32000,3.3516,5.2952,0.8587,0.000113
32100,3.4546,3.9642,0.8541,0.000113
32200,3.445,3.9957,0.8541,0.000112
32300,3.4508,3.7526,0.8541,0.000111
32400,3.38,3.9414,0.8541,0.00011
32500,3.3841,4.06,0.8541,0.000109
32600,3.5016,3.6103,0.8541,0.000108
32700,3.3466,4.534,0.8541,0.000108
32800,3.2298,4.38,0.8541,0.000107
32900,3.4126,4.0333,0.8541,0.000106
33000,3.3506,3.9554,0.8541,0.000105
33100,3.434,4.0054,0.842,0.000105
33200,3.4448,4.3102,0.842,0.000104
33300,3.4119,4.6194,0.842,0.000103
33400,3.3521,4.509,0.842,0.000102
33500,3.3861,4.9955,0.842,0.000101
33600,3.2374,4.2859,0.842,0.000101
33700,3.5277,4.0165,0.842,9.98e-05
33800,3.5439,3.3516,0.842,9.9e-05
33900,3.5025,3.8018,0.842,9.83e-05
34000,3.3712,3.9093,0.842,9.75e-05
34100,3.3739,4.3989,0.85,9.67e-05
34200,3.3028,4.7325,0.85,9.6e-05
34300,3.4071,4.7633,0.85,9.52e-05
34400,3.399,3.6587,0.85,9.45e-05
34500,3.407,3.8346,0.85,9.37e-05
34600,3.3644,4.2181,0.85,9.3e-05
34700,3.3361,4.4332,0.85,9.22e-05
34800,3.4421,3.3996,0.85,9.15e-05
34900,3.4674,4.6738,0.85,9.07e-05
35000,3.2644,3.5286,0.85,9e-05
35100,3.4135,4.586,0.8485,8.93e-05
35200,3.4437,5.1438,0.8485,8.85e-05
35300,3.4694,4.8506,0.8485,8.78e-05
35400,3.3989,5.4258,0.8485,8.71e-05
35500,3.4012,4.8887,0.8485,8.64e-05
35600,3.3367,4.0402,0.8485,8.57e-05
35700,3.3016,4.3389,0.8485,8.49e-05
35800,3.4702,3.9284,0.8485,8.42e-05
35900,3.2811,4.5107,0.8485,8.35e-05
36000,3.3737,3.9236,0.8485,8.28e-05
36100,3.4275,5.3563,0.8586,8.21e-05
36200,3.3955,3.9381,0.8586,8.14e-05
36300,3.4244,3.9362,0.8586,8.07e-05
36400,3.2648,2.9427,0.8586,8e-05
36500,3.4694,3.9939,0.8586,7.94e-05
36600,3.4984,4.2957,0.8586,7.87e-05
36700,3.3446,3.6848,0.8586,7.8e-05
36800,3.4947,4.0746,0.8586,7.73e-05
36900,3.3535,3.8459,0.8586,7.67e-05
37000,3.3931,4.2388,0.8586,7.6e-05
37100,3.3261,3.5696,0.8496,7.53e-05
37200,3.3255,3.4776,0.8496,7.47e-05
37300,3.2057,4.0588,0.8496,7.4e-05
37400,3.5701,4.6833,0.8496,7.34e-05
37500,3.4684,4.9368,0.8496,7.27e-05
37600,3.4298,4.6984,0.8496,7.21e-05
37700,3.5299,3.8609,0.8496,7.14e-05
37800,3.3848,3.2063,0.8496,7.08e-05
37900,3.3433,3.4507,0.8496,7.02e-05
38000,3.404,3.311,0.8496,6.95e-05
38100,3.4306,4.6651,0.8406,6.89e-05
38200,3.3651,4.1433,0.8406,6.83e-05
38300,3.4684,4.1897,0.8406,6.77e-05
